Table,attribute,type,mandatory,default,unit,comment,,
,invert_level_end_point,double,*,,m above datum (NL: NAP),"Invert level at culvert endpoint. 
Must be equal or above ajoining manhole or channel bottom/reference level.",,
,invert_level_start_point,double,*,,m above datum (NL: NAP),"Invert level at culvert startpoint. 
 Must be equal or above ajoining manhole or channel bottom/reference level.",,
,zoom_category,integer,,,,Visibility in live site. 0 is lowest for smallest level (i.e. ditch) and 5 for highest (rivers),,
v2_global_settings,,,,,,Global settings,,
,id,serial,*,,,Unique identifier,,
,advection_1d,integer,*,0/1,,"Use advection in 1D, other schemes 2-7 are in experimental phase",,
,advection_2d,integer,*,0/1,,Use advection in 2D.,,"Voor stedelijk gebied kon je de inloop modelleren met de impervious surfaces. Voor een bepaald type oppervlak gebuikte 3Di dan een voorgedefinieerd set aan inflow parameters. Om meer flexibiliteit te bieden is het nu mogelijk je eigen set aan surface parameters op te geven die de inloop via een oppervlak karakteriseren. Daarvoor moet je een v2_surface_parameters rij vullen en deze aan je v2_surface instance koppelen. De koppeling aan bepaalde connection nodes gebeurd op dezelfde manier als bij de impervious surfaces. Alleen hebben de v2_surfaces hun eigen mapping table: v2_surface_map. Om 3Di te laten weten dat je v2_surface objecten wilt gebruiken, hebben we de v2_global_settings kolom use_0d_inflow veranderd. Als je hem op 0 zet, is 0D inflow uitgeschakeld. Een 1 geeft aan dat je de v2_impervious_surfaces wilt gebruiken, en met een 2 laat je weten de we de v2_surfaces moet pakken."
,control_group_id,integer,,,,Reference to id that contains control settings for this scenario.,,
,dem_file,text,*,raster/yourfile.tif,m above datum (NL: NAP),Relative path to dem file (.tif),,
,dem_obstacle_detection,boolean,*,,-,Automatically detect obstacles based on DEM-file. Works only in combination with dem_obstacle_height (has no relation with v2_obstacle),,
,dem_obstacle_height,double,**,,m,"Relative height (above lowest pixel of calc cell) for obstacle detection.
 ** Mandatory when using dem obstacle detection.",,
,dist_calc_points,double,*,,m,Global distance between calculation points for line elements.,,
,embedded_cutoff_threshold,double,,0.05,factor [0 - 1],"Relative length of cell size. When embedded channel intersects 2D grid size over length shorter than the cellsize * cutoff threshold, the embedded channel skips this 2D cell. Usefull for preventing very short embedded channel segments (which slow down your model).",,
,epsg_code,integer,*,,m,Define map projection for study area. Must match raster projection.,,
,flooding_threshold,double,*,>=0.0,m,Water depth threshold for flow between 2D cells. Depth relative to lowest bathymetry pixel at the edge between two 2D cell.,,
,frict_avg,integer,*,0,-,The roughness coefficient will be averaged within one cell. Can only be 0 or 1.,,
,frict_coef,double,*,,"1:[m1/2/s], 2:[s/m1/3]",Constant friction coefficient for 2D.,,
,frict_coef_file,text,,raster/yourfile.tif,"1:[m1/2/s], 2:[s/m1/3]",Relative path to friction file (.tif),,
,frict_type,integer,,,,"1: Chezy for 2D
 2: Manning for 2D",,
,grid_space,double,*,,m,"Size of smallest grid cell in quadtree, k=1.
Must be an even multitude of the raster pixel size.",,
,groundwater_settings_id,integer,,,,Reference to id that contains groundwater settings for this scenario.,,
,initial_groundwater_level,double,,,m above datum (NL: NAP),Initial groundwater level ,,
,initial_groundwater_level_file,text,,raster/yourfile.tif,m above datum (NL: NAP),Relative path to initial groundwater level file (.tif),,
,initial_groundwater_level_type,integer,**,,,"0=max, 1=min, 2=avg
 **Mandatory when using initial water level file.",,
,initial_waterlevel,double,*,,m above datum (NL: NAP),Global initial water level.,,
,initial_waterlevel_file,text,,raster/yourfile.tif,m above datum (NL: NAP),Relative path to initial water level file (.tif),,
,interflow_settings_id,integer,,,,Reference to id that contains interflow settings for this scenario.,,
,interception_global (or max_interception),double,,,m,Global value for interception.,,
,interception_file (or max_interception_file),text,,raster/yourfile.tif,m,Relative path to interception file (.tif),,
,kmax,integer,*,,,"Maximum multitude of smallest grid size in quadtree starting from grid_space at k=1.
 Grid size increases according to 2^(k-1) * grid_space.",,
,manhole_storage_area,double,**,,m2,"Default manhole storage area. This is the surface area that each manhole is given when water reaches above the surface level.
 **Mandatory when using only 1d flow (no dem) manhole area must be larger than 0 (and an INTEGER)
 Must be NULL when using only 2d.",,
,max_angle_1d_advection,double,,,degrees [0-90],Maximum angle at which advection is considered.,,
,max_infiltration_capacity_file,,,,,"Is depricated in the global settings table, should be defined in the v2_simple_infiltration table. Is/Will be removed with the release of October 2018",,
,maximum_sim_time_step,double,**,,s,"Maximum timestep during simulation.
 ** Mandatory when using timestep plus.",,
,minimum_sim_time_step,double,,0.01 sec,s,"Minimum timestep during smulation, but keep it small for stability reasons. ",,
,name,text,*,v2,,"Names must be unique globally. 
 Do not use spaces, capitals, dahses (underscore is allowed)
 Keep names shorter than 10 characters.
 Don't use same name as sqlite name.",,
,nr_timesteps,integer,*,,,"Maximum nr of timesteps.
 This value is not used in the web portal.",,
,numerical_settings_id,integer,,,,Reference to id that contains numerical settings for this scenario.,,
,output_time_step,double,*,,s,"Timestep written in output file
 must be a factor of sime_time_step",,
,sim_time_step,double,*,,s,Simulation time step,,
,simple_infiltration_settings_id,integer,,,,Reference to id that contains settings for simple infiltration for this scenario.,,
,start_date,date,*,,,Format: 2017-01-01,,
,start_time,"timestamp
 with time zone",*,,,Starttime of simulation. Format: 00:00:00 (LM: volgens mij mag dit format niet en moet het zoiets zijn: 2014-01-01 00:00:00) ,,
,table_step_size,double,*,,m,"User-defined table stepsize/increment (m).
 Use 0.05 for detailed simulation or larger stepsize to speed up exploring model schematisation.",,
,table_step_size_1d,double,,table_step_size,m,User-defined table stepsize/increment (m) for 1d cross-sections and volumes.  default value = table_step_size,,
,table_step_size_volume_2d,double,,table_step_size,m,User-defined table stepsize/increment (m) for defining 2D volumes. Can increase speed when this is set larger than  table_step_size. default value = table_step_size,,
,timestep_plus,boolean,*,,-,Allow switching to larger timestep when simulation is steady.,,
,use_0d_inflow,integer,*,,,"Include 0D inflow (NWRW/impervious surfaces) in simulation.
0  do not use 0d inflow
1  use v2_impervious_surface
2  use v2_surface",,
,use_1d_flow,boolean,*,,,"Include 1D flow in simulation.
 When using only 1D flow, manhole_storage_area must be larger than zero.",,
,use_2d_flow,boolean,*,,,"Include 2D flow in simulation.
 When using only 2D flow, set manhole_storage_area to NULL.",,
,use_2d_rain,boolean,*,,,Use rainfall via 2D surface for this scenario,,
,water_level_ini_type,integer,**,,,"0=max, 1=min, 2=avg
 **Mandatory when using initial water level file.",,
,wind_shielding_file,text,,,,IS NOT IMPLEMENTED,,
v2_groundwater,,,,,,do not use in combination with simple_infiltration,,
,id,serial,*,,,Unique identifier,,
,display_name,text,*,,,"Name field, no constraints",,
,equilibrium_infiltration_rate,double,*,,mm/day,Setting for Horton-based infiltration; This is the equilibrium infiltration rate,,
,equilibrium_infiltration_rate_file,text,,raster/yourfile.tif,mm/day,Relative path to your file (.tif),,
,equilibrium_infiltration_rate_type,integer,**,,,"0=max, 1=min, 2=avg
 **Mandatory when using equilibrium infiltration file.",,
,groundwater_hydro_connectivity,double,*,,m/day,Darcy coefficient,,
,groundwater_hydro_connectivity_file,text,,raster/yourfile.tif,m/day,Relative path to your file (.tif),,
,groundwater_hydro_connectivity_type,integer,**,,-,"0=max, 1=min, 2=avg  **Mandatory when using groundwater_hydro_connectivity_file",,
,groundwater_impervious_layer_level,double,*,,m tov NAP,"level of impervious layer, bottom of groundwater layer",,
,groundwater_impervious_layer_level_file,text,,raster/yourfile.tif,m tov NAP,Relative path to your file (.tif),,
,groundwater_impervious_layer_level_type,integer,**,,,"0=max, 1=min, 2=avg
 **Mandatory when using groundwater_impervious_layer_level_file.",,
,infiltration_decay_period,double,*,,days,Setting for Horton-based infiltration; determines the period for which the infiltration decays to an equilibrium,,
,infiltration_decay_period_file,text,,raster/yourfile.tif,days,Relative path to your file (.tif),,
,infiltration_decay_period_type,integer,**,,,"0=max, 1=min, 2=avg
 **Mandatory when using infiltration_decay_period _file.",,
,initial_infiltration_rate,double,*,,mm/day,Setting for Horton-based infiltration; It is the initial infiltration rate,,
,initial_infiltration_rate_file,text,,raster/yourfile.tif,mm/day,Relative path to your file (.tif),,
,initial_infiltration_rate_type,integer,**,,,"0=max, 1=min, 2=avg
 **Mandatory when using initial infiltration file.",,
,leakage,double,*,,mm/d,"positive is adding water to the domain, negative is extracting water from the domain.",,
,leakage_file,text,,raster/yourfile.tif,mm/d,"positive is adding water to the domain, negative is extracting water from the domain.",,
,phreatic_storage_capacity,double,*,>0 and <1,-,"This is the effective porosity in the groundwater layer, as a fraction between 0 and 1",,
,phreatic_storage_capacity_file,text,,raster/yourfile.tif,-,Relative path to your file (.tif),,
,phreatic_storage_capacity_type,integer,**,,-,"0=max, 1=min, 2=avg
 **Mandatory when using phreatic_storage_capacity_file.",,
v2_grid_refinement,,,,,,Lines that determine local 2D calculation grid refinement.,,
,id,serial,*,,,Unique identifier,,
,display_name,text,*,,,"Name field, no constraints",,
,refinement_level,integer,*,,,Local refinement level. Starting from 1. Values above kmax (v2_global_settings) are ignored.,,
v2_grid_refinement_area,,,,,,Lines that determine local 2D calculation grid refinement.,,
,id,serial,*,,,Unique identifier,,
,display_name,text,*,,,"Name field, no constraints",,
,refinement_level,integer,*,,,Local refinement level. Starting from 1. Values above kmax (v2_global_settings) are ignored.,,
v2_impervious_surface,,,,,,Definition of 0D-surfaces.,,
,id,serial,*,,-,Unique identifier,,
,area,double precision,*,,,Cannot be left blank. A value of 0 is allowed.,,
,code,text,*,,-,"Code field, no constraints",,
,display_name,text,*,,-,"Name field, no constraints",,
,dry_weather_flow,double,,,L/day per inhabitant,Dry weather flow per inhabitant.,,
,nr_of_inhabitants,double,,,-,Number of inhabitant used for dry wheather flow.,,
,surface_class,text,*,,-,"gesloten verharding -- impervious paving
open verharding       -- pervious paving
half verhard               -- semi-pervious paving
onverhard                  -- unpaved
pand                         -- building",,
,surface_inclination,text,*,,-,"vlak              -- level
hellend        -- inclined
uitgestrekt  -- elongated",,
,zoom_category,integer,,,-,Visibility in live site. 0 is lowest for smallest level (i.e. ditch) and 5 for highest (rivers),,
v2_impervious_surface_map,,,,,,Table that linkes v2_impervious_surfaces to connection node ID's.,,
,id,serial,*,,-,Unique identifier,,
,connection_node_id,integer,*,,-,ID of connection node,,
,impervious_surface_id,integer,*,,-,ID of impervious surfce feature,,
,percentage,integer,*,,%,Percentage of impervious surface area places on connection node,,
v2_interflow,,,,,,,,
,id,serial,*,,-,Unique identifier,,
,display_name,text,*,,-,"Name field, no constraints",,
,hydraulic_conductivity,double,**,,m/day,"Global hydraulic conductivity (Darcy)
 **When interflow_type > 0 then hydraulic_conductivity OR hydraulic_conductivity_file is mandatory",,
,hydraulic_conductivity_file,text,,raster/yourfile.tif,m/day,"Relative path to hydraulic conductivity path (.tif)
 **When interflow_type > 0 then hydraulic_conductivity OR hydraulic_conductivity_file is mandatory",,
,impervious_layer_elevation,double,**,> 0,m,"When using interflow: Depth of interflow layer defined below lowest pixel (so always positive). Imaginary bottom of interflow layer. 
 For interflow types 1 and 2 it is ignored for the volume in the interflow layer (but still it must be filled in when using interflow). The volume in these types is determined by the porosity and the porosity layer thickness. 
 For interflow types 3 and 4 it is used to determine the volume in the interflow layer. 
 In all types the waterlevel in the interflow layer starts at this level. It does not influence flow.
 ** Mandatory when using interflow",,
,interflow_type,integer,"*
**",0,,"Include interflow in simulation.
 0: No Interflow
 1: define 1 porosity value for model. This porsity will be rescaled per pixel (to lowest pixel per cell), so (interflow) volume is the same for each pixel within 1 cell --> define porosity, hydraulic_conductivity, porosity_layer_thickness and impervious_layer_elevation (can be used in combination with groundwater)
 2: define 1 porosity value for model. This porsity will be rescaled per pixel (to lowest pixel whole model), so (interflow) volume is the same for each pixel in whole model --> define porosity, hydraulic_conductivity, porosity_layer_thickness and impervious_layer_elevation (cannot be used in combination with groundwater)
 3: define 1 porosity value for model. This porsity will not be rescaled, but each pixel in the model has the same porosity. The (interflow) volume for each pixel depends on the impervious_layer_elevation, which is below lowest pixel of cell --> define porosity, hydraulic_conductivity and impervious_layer_elevation (can be used in combination with groundwater)
 4: define 1 porosity value for model. This porsity will not be rescaled, but each pixel in the model has the same porosity. The (interflow) volume for each pixel depends on the impervious_layer_elevation, which is below lowest pixel of whole model --> define porosity, hydraulic_conductivity and impervious_layer_elevation (cannot be used in combination with groundwater)

* NOT NULL
** do not use interflow in combination with limiter_slope_crossectional_area_2d >0 AND/OR limiter_slope_friction_2d>0",,
,porosity,double,**,,,"Porosity (between 0 and 1) of interflow layer.
 ** Mandatory when using interflow",,
,porosity_file,text,,raster/yourfile.tif,-,Relative path to porosity file (.tif),,
,porosity_layer_thickness,double,**,> 0,m,"Thickness of porosity layer relative to DEM.
 **Mandatory for interflow_type 1 and 2.",,
v2_levee,,,,,,Line with fixed crest level that overides DEM- values at calculation cell borders.,,
,id,serial,*,,-,Unique identifier,,
,crest_level,double,*,,m above datum (NL: NAP),Crest level of levee segment.,,
,material,integer,**,,-,"** Mandatory when you want to use a levee breach during your calculation 
Material used for breach growth.
 1: sand
 2: clay",,
,max_breach_depth,double,**,,m below levee crest_level,"** Mandatory when you want to use a levee breach during your calculation 
Maximum breach depth relative to crest level (thus a positive value must be filled in).",,
v2_manhole,,,,,,Sewerage manhole,,
,id,serial,*,,-,Unique identifier,,
,bottom_level,double,*,,m above datum (NL: NAP),Manhole bottom level.,,
,calculation_type,integer,*,,-,"Manhole calculation type for 1D-2D connection.
 0: embedded
 1: isolated
 2: connected",,
,code,text,*,,-,"Name field, no constraints",,
,connection_node_id,integer,*,,-,ID of connection node on which manhole is placed.,,
,display_name,text,*,,-,"Name field, no constraints",,
,drain_level,double,**,,m above datum (NL: NAP),"Manhole drain level (**for connected manholes). If there is a connected manhole without drain level, 3Di will take the top of the pipe from the connection pipes as drain level.",,
,length,double,**,,m,"Manhole length. This value is for administrative purposes only and has no effect on the storage area of the connection node.
 **Mandatory when shape = 02",,
,manhole_indicator,integer,*,,-," 0: inspection (inspectieput)
 1: outlet
 2: pump",,
,shape,text,*,,-,"Manhole shape. This value is for administrative purposes only and has no effect on the storage area of the connection node. To add storage to a connection node, adjust the 'storage_area' in the v2_connection_nodes table.
00: square
01: round
02: rectangle ",,
,surface_level,double,,,m above datum (NL: NAP),Manhole surface level.,,
,width,double,*,,m,Manhole width or diameter. This value is for administrative purposes only and has no effect on the storage area of the connection node.,,
,zoom_category,integer,*,,-,Visibility in live site. 0 is lowest for smallest level (i.e. ditch) and 5 for highest (rivers),,
v2_numerical_settings,,,,,,Advanced numerical settings,,
,id,serial,*,,-,Unique identifier,,
,cfl_strictness_factor_1d,double,,1,-,Strictness of CFL condition for 1D.,,"ook mogelijk: 1=Carlson implicit, 2=Silecki explicit. Niet getest--> niet gebruiken"
,cfl_strictness_factor_2d,double,,1,-,Strictness of CFL condition for 2D.,,
,convergence_cg,double,,0.000000001,,"For numerical computation several tresholds are needed in the code, to avoid deficiencies due to a limited numerical accuracy. Generally this is to keep the behaviour consistent.",,
,convergence_eps,double,*,0.00001,,Minimal residual for convergence of newton iteration.,,
,flow_direction_threshold,double,,0.000001,m/s,"For numerical computation several tresholds are needed in the code, to avoid deficiencies due to a limited numerical accuracy. Generally this is to keep the behaviour consistent.",,
,frict_shallow_water_correction,integer,,0,-,"In case the friction assumptions based on the dominant friction balance gives a structurally underestimation of the friction, one can switch this setting on. 
 0 is off, 1 is maximum between averaged friction and divided channel based friction, 2 is always linearized, 3 linearizes the depth based on a weighed averaged.  In this case the maximum depth of a thin layer needs to be defined. Do not use in combination with interflow",,
,general_numerical_threshold,double,,0.00000001,,"For numerical computation several tresholds are needed in the code, to avoid deficiencies due to a limited numerical accuracy. Generally this is to keep the behaviour consistent.",,
,integration_method,integer,*,0,,Time integration method: 0=Euler implicit,,
,limiter_grad_1d,integer,,1,,The limiter on the water level gradient allows the model to deal with unrealistically steep gradients.,,
,limiter_grad_2d,integer,,0,-,"The limiter on the water level gradient allows the model to deal with unrealistically steep gradients. When field is left empty, it is switched on!!!",,
,limiter_slope_crossectional_area_2d,integer,,0,-,"This limiter starts working in case the depth based on the downstream water level is zero and may be useful in sloping areas.
 0 is off, and 1 is a limiter which ends in a a higher order scheme, but is sensitive too instabilities, 2, treats the cross-sections as an upwind method volume/surface area under the assumption that the flow acts like a thin layer,  3 makes a combination of the traditional method in combination with the  thin layer apporach. In this case the maximum depth of a thin layer needs to be defined.
 Do not use in combination with interflow",,
,limiter_slope_friction_2d,integer,,0,-,"This limiter starts working in case the depth based on the downstream water level is zero and may be useful in sloping areas.  0 is off, and 1 is on. 
This limiter is obliged in combination with limiter_slope_crossectional_area_2d>0.. l Do not use in combination with interflow",,
,max_degree,integer,*,see comment,,"Setting for matrix solver. Values below are adviced for different model types
700 for 1D flow
7 for 1D and 2D flow
5 for surface 2D flow only
7 for surface and groundwater flow
70 for 1D, 2D surface and groundwater flow or higher. Play around with this value in case of groundwater, can speed up your model significantly",,
,max_nonlin_iterations,integer,*,20,,Maximum number of nonlinear iterations in single time step.,,
,minimum_friction_velocity,double,,0.05,m/s,"For numerical computation several tresholds are needed in the code, to avoid deficiencies due to a limited numerical accuracy. Generally this is to keep the behaviour consistent.",,
,minimum_surface_area,double,,0.00000001,m2,"For numerical computation several tresholds are needed in the code, to avoid deficiencies due to a limited numerical accuracy. Generally this is to keep the behaviour consistent.",,
,precon_cg,integer,,1,-,"Use preconditioner for matrix solver. Increases simulation speed in most cases, Set to 0 or 1 (default).",,
,preissmann_slot,double,,0,m2,"A conceptual vertical and narrow slot providing a conceptual free surface condition for the flow when the water level is above the top of a closed conduit. Often used to guarentee stability, in 3Di unnessary unless used for presurized pipe flow. Works only for circular profiles.",,
,pump_implicit_ratio,double,,1,,Determines whether pump discharge is always maximum capacity (0) or discharge is limited to available inflow (1). The latter ensures a smooth discharge. Value between 0 and 1.,,
,thin_water_layer_definition,double,**,0.05,m,** mandatory when using friction shallow water correction option 3 or limiter_slope_crossectional_area_2d on option 3,,
,use_of_cg,integer,*,20,,"Number of iteration of conjugate gradient method, before swtiching to another method",,
,use_of_nested_newton,integer,*,0/1,,1 for 1D calculation with closed profiles to handle non-linearity in volume-waterlevel relation. When using 0 nested newton is switch off by default but will be used when calculations become non-linear. For sewerage systems 1 is advised.,,
v2_obstacle,,,,,,Line with fixed crest level that overides DEM- values at calculation cell borders.,,
,id,serial,*,,-,Unique identifier,,
,crest_level,double,*,,m above datum (NL: NAP),Crest level of obstacle segment,,
v2_orifice,,,,,,Structure that can be used for spillways or bridges,,
,id,serial,*,,-,Unique identifier,,
,code,text,*,,-,"Name field, no constraints",,
